Benchmarking with:Timeout 1800 seconds 
Model path: ./data/marabou/mnist10x20.nnet 

Benchmarking with epsilon = 5: 

Final result of input 0: Status.Undecided, branches explored: 35785, max depth: 91, time spent: 1800.16 seconds
Final result of input 2: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 4: Status.Undecided, branches explored: 41911, max depth: 62, time spent: 1800.20 seconds
Final result of input 6: Status.Undecided, branches explored: 31756, max depth: 104, time spent: 1800.14 seconds
Final result of input 8: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 10: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.04 seconds
Final result of input 12: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 14: Status.Safe, branches explored: 47717, max depth: 38, time spent: 1164.93 seconds
Final result of input 16: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 18: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 20: Status.Safe, branches explored: 3407, max depth: 22, time spent: 57.14 seconds
Final result of input 22: Status.Undecided, branches explored: 34523, max depth: 95, time spent: 1800.13 seconds
Final result of input 24: Status.Undecided, branches explored: 34244, max depth: 95, time spent: 1800.19 seconds
Final result of input 26: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 28: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 30: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 32: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 34: Status.Safe, branches explored: 15307, max depth: 29, time spent: 251.17 seconds
Final result of input 36: Status.Undecided, branches explored: 40602, max depth: 64, time spent: 1800.18 seconds
Final result of input 38: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.04 seconds
Final result of input 40: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 42: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 44: Status.Undecided, branches explored: 41482, max depth: 62, time spent: 1800.07 seconds
Final result of input 46: Status.Undecided, branches explored: 52889, max depth: 41, time spent: 1800.10 seconds
Final result of input 48: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 50: Status.Safe, branches explored: 17, max depth: 5, time spent: 0.33 seconds
Final result of input 52: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 54: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 56: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 58: Status.Undecided, branches explored: 42392, max depth: 82, time spent: 1800.08 seconds
Final result of input 60: Status.Undecided, branches explored: 32636, max depth: 103, time spent: 1800.23 seconds
Final result of input 61: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 62: Status.Undecided, branches explored: 30951, max depth: 103, time spent: 1800.10 seconds
Final result of input 63: Status.Undecided, branches explored: 40114, max depth: 76, time spent: 1800.09 seconds
Final result of input 64: Status.Undecided, branches explored: 35313, max depth: 74, time spent: 1800.10 seconds
Final result of input 65: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 66: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 67: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 68: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 69: Status.Undecided, branches explored: 40630, max depth: 72, time spent: 1800.17 seconds
Final result of input 70: Status.Undecided, branches explored: 49582, max depth: 51, time spent: 1800.08 seconds
Final result of input 71: Status.Undecided, branches explored: 57516, max depth: 35, time spent: 1800.17 seconds
Final result of input 72: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.04 seconds
Final result of input 73: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 74: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 75: Status.Undecided, branches explored: 51828, max depth: 42, time spent: 1800.08 seconds
Final result of input 76: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.04 seconds
Final result of input 77: Status.Safe, branches explored: 751, max depth: 12, time spent: 9.77 seconds
Final result of input 78: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 79: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 80: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 81: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 82: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 83: Status.Undecided, branches explored: 45751, max depth: 63, time spent: 1800.22 seconds
Final result of input 84: Status.Safe, branches explored: 679, max depth: 16, time spent: 8.77 seconds
Final result of input 85: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 86: Status.Undecided, branches explored: 36876, max depth: 73, time spent: 1800.13 seconds
